city,state,language,localLanguage,Type,Population (2011),Population class,country
Lalsot,Rajasthan,Hindi,हिन्दी,Municipality,34363,Class III,India
Pilibanga,Rajasthan,Hindi,हिन्दी,Municipality,33608,,India
Pipar City,Rajasthan,Hindi,हिन्दी,Municipality,32735,,India
Taranagar,Rajasthan,Hindi,हिन्दी,Municipality,32640,Class III,India
"Vijainagar, Ajmer",Rajasthan,Hindi,हिन्दी,Municipality,32124,Class III,India
Sumerpur,Rajasthan,Hindi,हिन्दी,Municipality,31482,,India
Sagwara,Rajasthan,Hindi,हिन्दी,Municipality,31127,,India
Ramganj Mandi,Rajasthan,Hindi,हिन्दी,Municipality,30973,,India
Lakheri,Rajasthan,Hindi,हिन्दी,Municipality,29572,Class III,India
Udaipurwati,Rajasthan,Hindi,हिन्दी,Municipality,29236,Class III,India
Losal,Rajasthan,Hindi,हिन्दी,Municipality,28504,Class III,India
Sri Madhopur,Rajasthan,Hindi,हिन्दी,Municipality,28492,,India
Ramngarh,Rajasthan,Hindi,हिन्दी,Municipality,28458,,India
Rawatsar,Rajasthan,Hindi,हिन्दी,Municipality,28387,,India
Rajakhera,Rajasthan,Hindi,हिन्दी,Municipality,28349,,India
Shahpura,Rajasthan,Hindi,हिन्दी,Municipality,28174,,India
Shahpura,Rajasthan,Hindi,हिन्दी,Municipality,27792,,India
Raisinghnagar,Rajasthan,Hindi,हिन्दी,Municipality,27736,,India
Malpura,Rajasthan,Hindi,हिन्दी,Urban Agglomeration,27360,,India
Nadbai,Rajasthan,Hindi,हिन्दी,Municipality,26411,Class III,India
Sanchore,Rajasthan,Hindi,हिन्दी,Municipality,25884,,India
Nagar,Rajasthan,Hindi,हिन्दी,Municipality,25572,Class III,India
Rajgarh (Alwar),Rajasthan,Hindi,हिन्दी,Municipality,25009,,India
Sheoganj,Rajasthan,Hindi,हिन्दी,Municipality,24789,,India
Sadri,Rajasthan,Hindi,हिन्दी,Municipality,24413,,India
Todaraisingh,Rajasthan,Hindi,हिन्दी,Municipality,23559,Class III,India
Todabhim,Rajasthan,Hindi,हिन्दी,Municipality,22977,Class III,India
Reengus,Rajasthan,Hindi,हिन्दी,Municipality,22932,,India
Rajaldesar,Rajasthan,Hindi,हिन्दी,Municipality,22836,,India
Sadulshahar,Rajasthan,Hindi,हिन्दी,Municipality,22326,,India
Sambhar,Rajasthan,Hindi,हिन्दी,Municipality,22293,,India
Prantij,Rajasthan,Hindi,हिन्दी,Municipality,22282,,India
Mount Abu,Rajasthan,Hindi,हिन्दी,Municipality,22152,,India
Mangrol,Rajasthan,Hindi,हिन्दी,Municipality,21842,,India
Phulera,Rajasthan,Hindi,हिन्दी,Municipality,21643,,India
Mandawa,Rajasthan,Hindi,हिन्दी,Municipality,20830,,India
Pindwara,Rajasthan,Hindi,हिन्दी,Municipality,20765,,India
Mandalgarh,Rajasthan,Hindi,हिन्दी,Municipality,20169,,India
Takhatgarh,Rajasthan,Hindi,हिन्दी,Municipality,16729,Class IV,India
Chennai,Tamil Nadu,Tamil,தமிழ்,Municipal Corporation / Corporation.,"46,81,087",Class I,India
Coimbatore,Tamil Nadu,Tamil,தமிழ்,Municipal Corporation / Corporation,"10,61,447",Class I,India
Madurai,Tamil Nadu,Tamil,தமிழ்,Municipal Corporation / Corporation,"10,16,885",Class I,India
Tiruchirappalli,Tamil Nadu,Tamil,தமிழ்,Municipal Corporation / Corporation.,"8,46,915",Class I,India
Salem,Tamil Nadu,Tamil,தமிழ்,Municipal Corporation / Corporation,"8,31,038",Class I,India
Tirunelveli,Tamil Nadu,Tamil,தமிழ்,Municipal Corporation / Corporation.,"4,74,838",Class I,India
Tiruppur,Tamil Nadu,Tamil,தமிழ்,Municipal Corporation / Corporation,"4,44,543",Class I,India
Ranipet,Tamil Nadu,Tamil,தமிழ்,Urban Agglomeration,"2,62,346",,India
Nagercoil,Tamil Nadu,Tamil,தமிழ்,Municipality,"2,24,329",Class I,India
Thanjavur,Tamil Nadu,Tamil,தமிழ்,Municipality,"2,22,619",Class I,India
Vellore,Tamil Nadu,Tamil,தமிழ்,Municipal Corporation / Corporation.,"1,85,895",Class I,India
Kancheepuram,Tamil Nadu,Tamil,தமிழ்,Municipality,"1,64,265",Class I,India
Erode,Tamil Nadu,Tamil,தமிழ்,Municipal Corporation / Corporation.,"1,56,953",Class I,India
Tiruvannamalai,Tamil Nadu,Tamil,தமிழ்,Municipality,"1,44,683",Class I,India
Pollachi,Tamil Nadu,Tamil,தமிழ்,Urban Agglomeration,"1,28,458",,India
Rajapalayam,Tamil Nadu,Tamil,தமிழ்,Municipality,"1,22,307",,India
Sivakasi,Tamil Nadu,Tamil,தமிழ்,Urban Agglomeration,"1,21,358",,India
Pudukkottai,Tamil Nadu,Tamil,தமிழ்,Municipality,"1,09,217",,India
Neyveli (TS),Tamil Nadu,Tamil,தமிழ்,Census town,"1,05,687",Class I,India
Nagapattinam,Tamil Nadu,Tamil,தமிழ்,Municipality,"1,02,838",Class I,India
Viluppuram,Tamil Nadu,Tamil,தமிழ்,Municipality,96253,Class II,India
Tiruchengode,Tamil Nadu,Tamil,தமிழ்,Municipality,95335,Class II,India
Vaniyambadi,Tamil Nadu,Tamil,தமிழ்,Municipality,95061,Class II,India
Theni Allinagaram,Tamil Nadu,Tamil,தமிழ்,Municipality,94453,Class II,India
Udhagamandalam,Tamil Nadu,Tamil,தமிழ்,Municipality,88430,Class II,India
Aruppukkottai,Tamil Nadu,Tamil,தமிழ்,Municipality,87722,Class II,India
Paramakudi,Tamil Nadu,Tamil,தமிழ்,Municipality,84321,,India
Arakkonam,Tamil Nadu,Tamil,தமிழ்,Municipality,78395,Class II,India
Virudhachalam,Tamil Nadu,Tamil,தமிழ்,Municipality,73585,Class II,India
Srivilliputhur,Tamil Nadu,Tamil,தமிழ்,Municipality,73183,,India
Tindivanam,Tamil Nadu,Tamil,தமிழ்,Municipality,72796,Class II,India
Virudhunagar,Tamil Nadu,Tamil,தமிழ்,Municipality,72296,Class II,India
Karur,Tamil Nadu,Tamil,தமிழ்,Municipality,70980,Class II,India
Valparai,Tamil Nadu,Tamil,தமிழ்,Municipality,70859,Class II,India
Sankarankovil,Tamil Nadu,Tamil,தமிழ்,Municipality,70574,Class II,India
Tenkasi,Tamil Nadu,Tamil,தமிழ்,Municipality,70545,Class II,India
Palani,Tamil Nadu,Tamil,தமிழ்,Municipality,67231,,India
Pattukkottai,Tamil Nadu,Tamil,தமிழ்,Municipality,65533,,India
Tirupathur,Tamil Nadu,Tamil,தமிழ்,Municipality,64125,Class II,India
Ramanathapuram,Tamil Nadu,Tamil,தமிழ்,Municipality,62050,,India
Udumalaipettai,Tamil Nadu,Tamil,தமிழ்,Municipality,61133,Class II,India
Gobichettipalayam,Tamil Nadu,Tamil,தமிழ்,Municipality,59523,Class II,India
Thiruvarur,Tamil Nadu,Tamil,தமிழ்,Municipality,58301,Class II,India
Thiruvallur,Tamil Nadu,Tamil,தமிழ்,Municipality,56074,Class II,India
Panruti,Tamil Nadu,Tamil,தமிழ்,Municipality,55346,,India
Namakkal,Tamil Nadu,Tamil,தமிழ்,Municipality,55145,Class II,India
Thirumangalam,Tamil Nadu,Tamil,தமிழ்,Municipality,51194,Class II,India
Vikramasingapuram,Tamil Nadu,Tamil,தமிழ்,Municipality,47241,Class III,India
Nellikuppam,Tamil Nadu,Tamil,தமிழ்,Municipality,46678,Class III,India
Rasipuram,Tamil Nadu,Tamil,தமிழ்,Municipality,46330,,India
Tiruttani,Tamil Nadu,Tamil,தமிழ்,Municipality,44781,Class III,India
Nandivaram-Guduvancheri,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,44098,Class III,India
Periyakulam,Tamil Nadu,Tamil,தமிழ்,Municipality,42012,,India
Pernampattu,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,41499,,India
Vellakoil,Tamil Nadu,Tamil,தமிழ்,Municipality,40359,Class III,India
Sivaganga,Tamil Nadu,Tamil,தமிழ்,Urban Agglomeration,40220,,India
Vadalur,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,39514,Class III,India
Rameshwaram,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,37968,,India
Tiruvethipuram,Tamil Nadu,Tamil,தமிழ்,Municipality,37802,Class III,India
Perambalur,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,37631,,India
Usilampatti,Tamil Nadu,Tamil,தமிழ்,Municipality,35219,Class III,India
Vedaranyam,Tamil Nadu,Tamil,தமிழ்,Municipality,34266,Class III,India
Sathyamangalam,Tamil Nadu,Tamil,தமிழ்,Municipality,33722,,India
Puliyankudi,Tamil Nadu,Tamil,தமிழ்,Municipality,33187,,India
Nanjikottai,Tamil Nadu,Tamil,தமிழ்,Census town,32689,Class III,India
Thuraiyur,Tamil Nadu,Tamil,தமிழ்,Municipality,32439,Class III,India
Sirkali,Tamil Nadu,Tamil,தமிழ்,Municipality,32228,,India
Tiruchendur,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,32171,Class III,India
Periyasemur,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,32024,,India
Sattur,Tamil Nadu,Tamil,தமிழ்,Municipality,31443,,India
Vandavasi,Tamil Nadu,Tamil,தமிழ்,Municipality,31320,Class III,India
Tharamangalam,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,30222,Class III,India
Tirukkoyilur,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,30212,Class III,India
Oddanchatram,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,30064,Class III,India
Palladam,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,30016,,India
Vadakkuvalliyur,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,29417,Class III,India
Tirukalukundram,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,29391,Class III,India
Uthamapalayam,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,29050,Class III,India
Surandai,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,28146,,India
Sankari,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,27454,,India
Shenkottai,Tamil Nadu,Tamil,தமிழ்,Municipality,26838,,India
Vadipatti,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,26830,Class III,India
Sholingur,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,26652,,India
Tirupathur,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,25980,Class III,India
Manachanallur,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,25931,,India
Viswanatham,Tamil Nadu,Tamil,தமிழ்,Census town,25555,Class III,India
Polur,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,25505,,India
Panagudi,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,25501,,India
Uthiramerur,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,25194,Class III,India
Thiruthuraipoondi,Tamil Nadu,Tamil,தமிழ்,Municipality,24404,Class III,India
Pallapatti,Tamil Nadu,Tamil,தமிழ்,Census town,24326,,India
Ponneri,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,24309,,India
Lalgudi,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,23740,Class III,India
Natham,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,23660,Class III,India
Unnamalaikadai,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,23656,Class III,India
P.N.Patti,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,23331,,India
Tharangambadi,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,23191,Class III,India
Tittakudi,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,22894,Class III,India
Pacode,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,22781,,India
O' Valley,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,21943,Class III,India
Suriyampalayam,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,21923,,India
Sholavandan,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,21638,,India
Thammampatti,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,21503,Class III,India
Namagiripettai,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,21250,Class III,India
Peravurani,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,21045,,India
Parangipettai,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,20912,,India
Pudupattinam,Tamil Nadu,Tamil,தமிழ்,Census town,20901,,India
Pallikonda,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,20771,,India
Sivagiri,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,20380,,India
Punjaipugalur,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,20309,,India
Padmanabhapuram,Tamil Nadu,Tamil,தமிழ்,Municipality,20075,,India
Thirupuvanam,Tamil Nadu,Tamil,தமிழ்,Town Panchayat,14989,Class IV,India
Hyderabad,Telangana,Telugu,తెలుగు,Municipal Corporation / Corporation,"68,09,970",Class I,India
Warangal,Telangana,Telugu,తెలుగు,Municipal Corporation / Corporation.,"8,19,429",Class I,India
Nizamabad,Telangana,Telugu,తెలుగు,Municipal Corporation / Corporation,"3,10,467",Class I,India
Karimnagar,Telangana,Telugu,తెలుగు,Municipal Corporation / Corporation,"2,60,899",Class I,India
Ramagundam,Telangana,Telugu,తెలుగు,Municipal Corporation / Corporation,"2,37,686",,India
Khammam,Telangana,Telugu,తెలుగు,Municipal Corporation / Corporation,"1,84,252",Class I,India
Mahbubnagar,Telangana,Telugu,తెలుగు,Municipality,"1,57,902",Class I,India
Mancherial,Telangana,Telugu,తెలుగు,Urban Agglomeration,"1,18,195",,India
Adilabad,Telangana,Telugu,తెలుగు,Municipality,"1,17,167",Class I,India
Suryapet,Telangana,Telugu,తెలుగు,Urban Agglomeration,"1,06,524",,India
Jagtial,Telangana,Telugu,తెలుగు,Municipality,96460,Class II,India
Miryalaguda,Telangana,Telugu,తెలుగు,Urban Agglomeration,91359,,India
Nirmal,Telangana,Telugu,తెలుగు,Municipality,88433,Class II,India
Kamareddy,Telangana,Telugu,తెలుగు,Municipality,80315,Class II,India
Kothagudem,Telangana,Telugu,తెలుగు,Municipality,79819,Class II,India
Bodhan,Telangana,Telugu,తెలుగు,Municipality,77573,Class II,India
Palwancha,Telangana,Telugu,తెలుగు,Municipality,69088,,India
Mandamarri,Telangana,Telugu,తెలుగు,Municipality,66596,,India
Koratla,Telangana,Telugu,తెలుగు,Municipality,66504,Class II,India
Sircilla,Telangana,Telugu,తెలుగు,Municipality,65314,,India
Tandur,Telangana,Telugu,తెలుగు,Municipality,65115,Class II,India
Siddipet,Telangana,Telugu,తెలుగు,Municipality,61809,,India
Wanaparthy,Telangana,Telugu,తెలుగు,Municipality,60949,Class II,India
Kagaznagar,Telangana,Telugu,తెలుగు,Municipality,57583,Class II,India
Gadwal,Telangana,Telugu,తెలుగు,Municipality,57569,Class II,India
Sangareddy,Telangana,Telugu,తెలుగు,Municipality,57113,,India
Bellampalle,Telangana,Telugu,తెలుగు,Municipality,53958,Class II,India
Bhongir,Telangana,Telugu,తెలుగు,Municipality,53339,Class II,India
Vikarabad,Telangana,Telugu,తెలుగు,Municipality,53143,Class II,India
Jangaon,Telangana,Telugu,తెలుగు,Municipality,52394,Class II,India
Bhadrachalam,Telangana,Telugu,తెలుగు,Census town,50087,Class II,India
Bhainsa,Telangana,Telugu,తెలుగు,Municipality,49764,Class III,India
Farooqnagar,Telangana,Telugu,తెలుగు,Census town.,45675,Class III,India
Medak,Telangana,Telugu,తెలుగు,Nagar Panchayat,41945,,India
Narayanpet,Telangana,Telugu,తెలుగు,Nagar Panchayat,41752,Class III,India
Sadasivpet,Telangana,Telugu,తెలుగు,Municipality,36334,,India
Yellandu,Telangana,Telugu,తెలుగు,Municipality,33732,Class III,India
Manuguru,Telangana,Telugu,తెలుగు,Census town,32893,,India
Kyathampalle,Telangana,Telugu,తెలుగు,Census town,32385,Class III,India
Nagarkurnool,Telangana,Telugu,తెలుగు,Census town,26801,Class III,India
Agartala,Tripura,Bengali,বাংলা,Municipal Corporation / Corporation.,"3,99,688",Class I,India
Udaipur,Tripura,Bengali,বাংলা,Municipal Council,32758,Class III,India
Dharmanagar,Tripura,Bengali,বাংলা,Municipal Council,30785,Class III,India
Pratapgarh,Tripura,Bengali,বাংলা,Census town,26837,,India
Kailasahar,Tripura,Bengali,বাংলা,Nagar Panchayat,20279,Class III,India
Belonia,Tripura,Bengali,বাংলা,Municipal Council,19996,Class IV,India
Khowai,Tripura,Bengali,বাংলা,Municipal Council,18526,Class IV,India
Lucknow,Uttar Pradesh,Hindi ,हिन्दी,Municipal Corporation / Corporation,"28,15,601",Class I,India
Kanpur,Uttar Pradesh,Hindi ,हिन्दी,Municipal Corporation / Corporation,"27,67,031",Class I,India
Firozabad,Uttar Pradesh,Hindi ,हिन्दी,Census town.,"16,45,675",Class I,India
Agra,Uttar Pradesh,Hindi ,हिन्दी,Municipal Corporation / Corporation.,"15,74,542",Class I,India
Meerut,Uttar Pradesh,Hindi ,हिन्दी,Municipal Corporation / Corporation,"13,09,023",Class I,India
Varanasi,Uttar Pradesh,Hindi ,हिन्दी,Municipal Corporation / Corporation.,"12,01,815",Class I,India
Allahabad,Uttar Pradesh,Hindi ,हिन्दी,Municipality.,"11,17,094",Class I,India
Amroha,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat.,"8,97,135",Class I,India
Moradabad,Uttar Pradesh,Hindi ,हिन्दी,Municipal Corporation / Corporation,"8,89,810",Class I,India
Aligarh,Uttar Pradesh,Hindi ,हिन्दी,Municipalityunicipal Corporation / Corporation.,"8,72,575",Class I,India
Saharanpur,Uttar Pradesh,Hindi ,हिन्दी,Municipal Corporation / Corporation,"7,03,345",Class I,India
Noida,Uttar Pradesh,Hindi ,हिन्दी,Census town,"6,42,381",Class I,India
Loni,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,"5,12,296",Class I,India
Jhansi,Uttar Pradesh,Hindi ,हिन्दी,Municipal Corporation / Corporation.,"5,07,293",Class I,India
Shahjahanpur,Uttar Pradesh,Hindi ,हिन्दी,Urban Agglomeration,"3,21,885",,India
Rampur,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,"2,81,494",,India
Modinagar,Uttar Pradesh,Hindi ,हिन्दी,Municipality,"2,72,918",,India
Hapur,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad,"2,62,801",Class I,India
Etawah,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad,"2,56,790",Class I,India
Sambhal,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad,"2,21,334",Class I,India
Orai,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad.,"1,87,185",Class I,India
Bahraich,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad,"1,86,241",Class I,India
Unnao,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad.,"1,77,658",Class I,India
Rae Bareli,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,"1,69,333",,India
Lakhimpur,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad,"1,52,010",Class I,India
Sitapur,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,"1,51,908",,India
Lalitpur,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad,"1,33,041",Class I,India
Pilibhit,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,"1,24,245",,India
Chandausi,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad,"1,14,254",Class I,India
Hardoi ,Uttar Pradesh,Hindi ,हिन्दी,Municipality,"1,12,486",Class II,India
Azamgarh,Uttar Pradesh,Hindi ,हिन्दी,P.,"1,10,980",Class I,India
Khair,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad,"1,02,106",Class II,India
Sultanpur,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,"1,00,065",,India
Tanda,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,95516,Class II,India
Nagina,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad,95246,Class II,India
Shamli,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,90055,,India
Najibabad,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,88535,Class II,India
Shikohabad,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,88161,,India
Sikandrabad,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,69867,,India
"Shahabad, Hardoi",Uttar Pradesh,Hindi ,हिन्दी,Municipal board,67751,,India
Pilkhuwa,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,66907,,India
Renukoot,Uttar Pradesh,Hindi ,हिन्दी,Urban Agglomeration,66597,,India
Vrindavan,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,63005,Class II,India
Ujhani,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad.,62039,Class II,India
Laharpur,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad,61990,Class II,India
Tilhar,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad.,61444,Class II,India
Sahaswan,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,58184,,India
Rath,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,55950,,India
Sherkot,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,52880,,India
Kalpi,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad,51670,Class II,India
Tundla,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad,50423,Class II,India
Sandila,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,48899,,India
Nanpara,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad,48337,Class III,India
Sardhana,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,48314,,India
Nehtaur,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad,47834,Class III,India
Seohara,Uttar Pradesh,Hindi ,हिन्दी,Urban Agglomeration,47575,,India
Padrauna,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,44383,,India
Mathura,Uttar Pradesh,Hindi ,हिन्दी,Municipality,44313,,India
Thakurdwara,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad.,44255,Class III,India
Nawabganj,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad,39241,Class III,India
Siana,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,38999,,India
Noorpur,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad,38806,Class III,India
Sikandra Rao,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,37938,,India
Puranpur,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,37233,,India
Rudauli,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,36776,,India
Thana Bhawan,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat.,36669,Class III,India
Palia Kalan,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,35029,,India
Zaidpur,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,34443,Class III,India
Nautanwa,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad,33753,Class III,India
Zamania,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,33243,Class III,India
"Shikarpur, Bulandshahr",Uttar Pradesh,Hindi ,हिन्दी,Municipal board,33187,,India
Naugawan Sadat,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,32954,Class III,India
Fatehpur Sikri,Uttar Pradesh,Hindi ,हिन्दी,Municipal board.,32905,Class III,India
"Shahabad, Rampur",Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,32370,,India
Robertsganj,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,32243,,India
Utraula,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad.,32145,Class III,India
Sadabad,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,31742,,India
Rasra,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,29238,,India
Lar,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,28307,Class III,India
Lal Gopalganj Nindaura,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,28288,Class III,India
Sirsaganj,Uttar Pradesh,Hindi ,हिन्दी,Urban Agglomeration,28212,,India
Pihani,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,27545,,India
"Shamsabad, Agra",Uttar Pradesh,Hindi ,हिन्दी,Municipal board,27338,,India
Rudrapur,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,26683,,India
Soron,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,26678,,India
SUrban Agglomerationr,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,26149,,India
Samdhan,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,25327,,India
Sahjanwa,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,25107,,India
Rampur Maniharan,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,24844,,India
Sumerpur,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,24661,,India
Shahganj,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,24602,,India
Tulsipur,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,24488,Class III,India
Tirwaganj,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,24082,Class III,India
PurqUrban Agglomerationzi,Uttar Pradesh,Hindi ,हिन्दी,Urban Agglomeration,23599,,India
"Shamsabad, Farrukhabad",Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,23596,,India
Warhapur,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat.,23456,Class III,India
Powayan,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,23406,,India
Sandi,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,23234,,India
Achhnera,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat.,22781,Class III,India
Naraura,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,22775,Class III,India
Nakur,Uttar Pradesh,Hindi ,हिन्दी,Nagar Palika Parishad,22712,Class III,India
Sahaspur,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,22606,,India
Safipur,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,22378,,India
Reoti,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,22082,,India
Sikanderpur,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,21783,,India
Saidpur,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,21568,,India
Sirsi,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,21373,,India
Purwa,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,21271,,India
Parasi,Uttar Pradesh,Hindi ,हिन्दी,Census town,21206,,India
Lalganj,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,21142,Class III,India
Phulpur,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,20986,,India
Shishgarh,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,20684,,India
Sahawar,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,20470,,India
Samthar,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,20217,,India
Pukhrayan,Uttar Pradesh,Hindi ,हिन्दी,Municipal board,20107,,India
Obra,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,14786,Class IV,India
Niwai,Uttar Pradesh,Hindi ,हिन्दी,Nagar Panchayat,9205,Class V,India
Dehradun,Uttarakhand,Hindi ,हिन्दी,Municipal Corporation / Corporation,"5,78,420",Class I,India
Hardwar,Uttarakhand,Hindi ,हिन्दी,Nagar Palika Parishad,"2,25,235",Class I,India
